,GDP,GDP,GDP,Unemployment Rate,Unemployment Rate,Unemployment Rate,Federal Funds Rate,Federal Funds Rate,Federal Funds Rate
,realtime_start,realtime_end,value,realtime_start,realtime_end,value,realtime_start,realtime_end,value
date,,,,,,,,,
2018-01-01,2024-09-22,2024-09-22,20328.553,2024-09-22,2024-09-22,4.0,2024-09-22,2024-09-22,1.41
2018-02-01,,,,2024-09-22,2024-09-22,4.1,2024-09-22,2024-09-22,1.42
2018-03-01,,,,2024-09-22,2024-09-22,4.0,2024-09-22,2024-09-22,1.51
2018-04-01,2024-09-22,2024-09-22,20580.912,2024-09-22,2024-09-22,4.0,2024-09-22,2024-09-22,1.69
2018-05-01,,,,2024-09-22,2024-09-22,3.8,2024-09-22,2024-09-22,1.7
2018-06-01,,,,2024-09-22,2024-09-22,4.0,2024-09-22,2024-09-22,1.82
2018-07-01,2024-09-22,2024-09-22,20798.73,2024-09-22,2024-09-22,3.8,2024-09-22,2024-09-22,1.91
2018-08-01,,,,2024-09-22,2024-09-22,3.8,2024-09-22,2024-09-22,1.91
2018-09-01,,,,2024-09-22,2024-09-22,3.7,2024-09-22,2024-09-22,1.95
2018-10-01,2024-09-22,2024-09-22,20917.867,2024-09-22,2024-09-22,3.8,2024-09-22,2024-09-22,2.19
2018-11-01,,,,2024-09-22,2024-09-22,3.8,2024-09-22,2024-09-22,2.2
2018-12-01,,,,2024-09-22,2024-09-22,3.9,2024-09-22,2024-09-22,2.27
2019-01-01,2024-09-22,2024-09-22,21104.133,2024-09-22,2024-09-22,4.0,2024-09-22,2024-09-22,2.4
2019-02-01,,,,2024-09-22,2024-09-22,3.8,2024-09-22,2024-09-22,2.4
2019-03-01,,,,2024-09-22,2024-09-22,3.8,2024-09-22,2024-09-22,2.41
2019-04-01,2024-09-22,2024-09-22,21384.775,2024-09-22,2024-09-22,3.7,2024-09-22,2024-09-22,2.42
2019-05-01,,,,2024-09-22,2024-09-22,3.6,2024-09-22,2024-09-22,2.39
2019-06-01,,,,2024-09-22,2024-09-22,3.6,2024-09-22,2024-09-22,2.38
2019-07-01,2024-09-22,2024-09-22,21694.282,2024-09-22,2024-09-22,3.7,2024-09-22,2024-09-22,2.4
2019-08-01,,,,2024-09-22,2024-09-22,3.6,2024-09-22,2024-09-22,2.13
2019-09-01,,,,2024-09-22,2024-09-22,3.5,2024-09-22,2024-09-22,2.04
2019-10-01,2024-09-22,2024-09-22,21902.39,2024-09-22,2024-09-22,3.6,2024-09-22,2024-09-22,1.83
2019-11-01,,,,2024-09-22,2024-09-22,3.6,2024-09-22,2024-09-22,1.55
2019-12-01,,,,2024-09-22,2024-09-22,3.6,2024-09-22,2024-09-22,1.55
2020-01-01,2024-09-22,2024-09-22,21706.513,2024-09-22,2024-09-22,3.6,2024-09-22,2024-09-22,1.55
2020-02-01,,,,2024-09-22,2024-09-22,3.5,2024-09-22,2024-09-22,1.58
2020-03-01,,,,2024-09-22,2024-09-22,4.4,2024-09-22,2024-09-22,0.65
2020-04-01,2024-09-22,2024-09-22,19913.143,2024-09-22,2024-09-22,14.8,2024-09-22,2024-09-22,0.05
2020-05-01,,,,2024-09-22,2024-09-22,13.2,2024-09-22,2024-09-22,0.05
2020-06-01,,,,2024-09-22,2024-09-22,11.0,2024-09-22,2024-09-22,0.08
2020-07-01,2024-09-22,2024-09-22,21647.64,2024-09-22,2024-09-22,10.2,2024-09-22,2024-09-22,0.09
2020-08-01,,,,2024-09-22,2024-09-22,8.4,2024-09-22,2024-09-22,0.1
2020-09-01,,,,2024-09-22,2024-09-22,7.8,2024-09-22,2024-09-22,0.09
2020-10-01,2024-09-22,2024-09-22,22024.502,2024-09-22,2024-09-22,6.8,2024-09-22,2024-09-22,0.09
2020-11-01,,,,2024-09-22,2024-09-22,6.7,2024-09-22,2024-09-22,0.09
2020-12-01,,,,2024-09-22,2024-09-22,6.7,2024-09-22,2024-09-22,0.09
2021-01-01,2024-09-22,2024-09-22,22600.185,2024-09-22,2024-09-22,6.4,2024-09-22,2024-09-22,0.09
2021-02-01,,,,2024-09-22,2024-09-22,6.2,2024-09-22,2024-09-22,0.08
2021-03-01,,,,2024-09-22,2024-09-22,6.1,2024-09-22,2024-09-22,0.07
2021-04-01,2024-09-22,2024-09-22,23292.362,2024-09-22,2024-09-22,6.1,2024-09-22,2024-09-22,0.07
2021-05-01,,,,2024-09-22,2024-09-22,5.8,2024-09-22,2024-09-22,0.06
2021-06-01,,,,2024-09-22,2024-09-22,5.9,2024-09-22,2024-09-22,0.08
2021-07-01,2024-09-22,2024-09-22,23828.973,2024-09-22,2024-09-22,5.4,2024-09-22,2024-09-22,0.1
2021-08-01,,,,2024-09-22,2024-09-22,5.1,2024-09-22,2024-09-22,0.09
2021-09-01,,,,2024-09-22,2024-09-22,4.7,2024-09-22,2024-09-22,0.08
2021-10-01,2024-09-22,2024-09-22,24654.603,2024-09-22,2024-09-22,4.5,2024-09-22,2024-09-22,0.08
2021-11-01,,,,2024-09-22,2024-09-22,4.1,2024-09-22,2024-09-22,0.08
2021-12-01,,,,2024-09-22,2024-09-22,3.9,2024-09-22,2024-09-22,0.08
2022-01-01,2024-09-22,2024-09-22,25029.116,2024-09-22,2024-09-22,4.0,2024-09-22,2024-09-22,0.08
